CRIMHIST,DISTRICT,MONSEX,NEWCIT,NEWEDUC,NEWRACE,OFFTYPSB,TOTPRISN,AGE
1,89,0,0,3,1,13,36,33
1,55,0,0,3,2,10,0,38
1,70,0,1,1,3,23,42,43
1,84,0,1,1,3,27,1,25
,42,0,1,,3,10,0,35
,87,1,0,,1,35,0,43
1,47,0,0,6,1,18,38,60
1,47,0,0,3,1,13,92,29
1,84,0,1,1,3,27,1,30
1,55,0,0,1,1,28,144,40
1,47,0,0,1,1,10,64,36
1,71,0,0,5,1,28,48,42
1,39,0,1,3,3,10,108,45
1,3,0,1,1,3,10,36,37
1,55,0,0,3,2,6,188,34
1,42,0,1,1,3,27,7,34
1,39,0,0,5,2,10,109,38
0,42,0,1,5,3,10,33,20
1,3,0,0,1,2,10,41,28
1,39,0,1,1,3,27,66,24
1,39,0,0,1,3,28,120,27
1,70,0,0,5,1,13,144,25
1,39,0,0,1,3,13,84,29
1,39,0,1,1,3,27,0,24
1,70,0,1,1,3,27,12,44
1,75,0,0,3,6,10,46,59
1,17,0,1,5,3,27,12,32
0,39,0,1,1,3,10,37,66
1,39,1,0,3,2,18,0,38
1,39,1,0,1,1,18,0,22
1,42,0,1,1,3,10,120,37
0,4,0,0,1,3,13,60,20
1,39,0,1,1,3,10,51,41
1,29,0,0,1,2,13,36,30
1,84,0,1,1,3,27,0,23
1,70,0,1,1,3,27,0,46
1,42,0,1,1,3,27,7,50
1,66,0,0,3,3,30,24,24
1,49,0,0,5,1,17,27,43
0,66,1,1,5,6,30,0,36
0,22,0,0,5,6,10,120,33
1,66,0,0,3,1,10,108,45
1,70,0,1,1,3,27,18,33
1,66,0,0,5,6,25,0,33
0,23,1,0,5,1,10,63,33
1,84,0,1,1,3,27,1,31
1,61,0,1,1,3,27,24,44
1,82,0,1,3,3,27,18,41
1,26,0,0,3,2,18,30,25
1,6,0,0,3,1,10,3,48
1,82,0,0,1,3,10,72,35
1,42,1,0,1,1,10,37,20
1,70,0,1,1,3,27,18,20
1,57,0,0,1,2,13,120,51
,42,0,0,,1,35,0,21
1,20,0,0,6,1,23,0,24
1,57,0,0,5,2,10,18,40
1,26,1,0,5,2,18,36,20
1,74,0,1,1,3,10,37,34
1,23,1,0,5,1,10,168,31
1,64,1,0,3,6,18,0,29
1,76,0,0,6,1,35,46,73
1,70,0,1,3,3,27,0,32
1,64,0,0,5,1,10,0,46
1,64,0,0,1,6,4,96,33
1,67,0,0,3,1,5,9,59
1,64,0,0,1,1,10,36,52
1,64,0,0,5,1,28,190,40
0,73,0,1,1,3,10,51,39
1,42,0,1,1,3,27,0,40
1,70,0,1,1,3,27,0,25
0,42,1,0,3,3,27,0,23
1,42,1,1,1,3,27,12,43
0,42,0,1,3,3,10,70,31
1,23,1,0,1,3,10,6,32
1,42,0,1,1,3,27,57,55
1,75,0,0,6,6,19,21,60
1,42,0,1,1,3,27,15,40
1,70,0,1,1,3,27,21,30
1,42,0,1,1,3,27,24,68
1,87,1,0,3,2,10,188,36
0,87,0,1,1,3,10,180,45
1,87,0,0,5,1,13,51,27
1,84,0,1,1,3,27,1,40
1,82,0,0,3,3,13,24,31
1,80,0,0,3,1,35,21,32
0,84,0,1,1,3,10,12,26
1,84,0,1,1,3,27,12,53
0,75,0,0,3,6,10,28,35
1,30,0,1,1,3,28,60,31
1,65,0,0,1,2,13,18,26
1,70,1,0,1,3,27,12,21
1,22,0,0,5,2,17,0,29
1,29,0,0,3,3,10,75,63
1,29,0,0,1,1,13,15,35
1,49,0,0,1,1,13,120,27
1,31,0,1,1,3,18,24,44
1,17,0,0,3,2,13,42,30
1,49,0,0,1,1,13,46,37
0,30,0,0,6,2,10,0,52
1,30,0,1,3,3,27,0,37
1,33,0,0,3,1,10,0,30
1,38,1,1,5,3,27,24,49
,17,0,,,2,35,0,36
1,42,0,1,1,3,27,10,37
1,82,0,0,5,2,13,30,34
1,43,1,0,3,1,18,0,62
0,45,0,0,6,2,20,0,59
1,40,0,0,3,2,10,300,47
1,33,0,,,,35,0,37
1,17,0,0,3,2,13,51,30
0,38,1,0,5,2,24,48,20
1,22,0,1,3,2,13,384,43
,87,0,,,2,31,0,26
1,84,0,1,1,3,27,0,38
1,62,1,0,3,1,35,0,35
1,62,1,0,1,1,10,121,34
1,62,0,0,3,1,10,168,34
1,62,0,0,3,1,10,295,35
1,84,0,1,1,3,27,0,38
1,18,1,0,5,1,6,45,49
1,58,0,0,3,1,13,46,53
1,84,0,1,1,3,27,0,22
1,39,0,0,3,1,13,270,43
1,84,0,1,3,3,27,1,23
0,84,0,1,1,3,10,0,22
1,16,0,1,1,3,24,84,26
0,39,1,0,3,3,10,60,22
1,42,0,1,3,1,27,8,40
0,96,0,0,6,1,18,6,38
